Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Cognitive restructuring,"Identify a distorted thought, test it against evidence, and replace it with a more accurate belief.",Strong Evidence,Backup 1,"Cuijpers et al., 2023, World Psychiatry","Meta-analysis, 409 RCTs/52,702 patients; CBT (built on cognitive restructuring) had g=0.79 vs control, durable at follow-up.","The broader CBT evidence base, of which restructuring is the cognitive core, reinforces that evidence-testing of thoughts is a strongly supported active ingredient.",https://doi.org/10.1002/wps.21069,https://consensus.app/papers/details/50ac6e5cfe1050a48a3e7d1e4b252df7/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+behavioral+therapy+depression+efficacy+meta-analysis+randomized+controlled+trials&utm_source=claude_code&mode=quick,Mostly agree,"This is excellent evidence for CBT overall, but only indirect evidence for cognitive restructuring specifically. The primary Ciharova paper is the stronger construct match.",Partially agree,"I agree this is indirect for restructuring specifically, but as a backup its role is corroboration while the Ciharova primary carries the construct match, so the observation is true yet doesn't weaken the row."
Behavioral activation,"Schedule small rewarding or valued actions before motivation appears, then track mood afterward.",Strong Evidence,Primary,"Stein et al., 2019, Psychological Medicine","Meta-analysis, 28 RCTs; behavioral activation beat inactive control for depression (g=0.83), anxiety (g=0.37) and activation (g=0.64).","A direct, well-powered meta-analysis of behavioral activation showing large effects on depression confirms the technique works, supporting a Strong ranking.",https://doi.org/10.1017/S0033291720000239,https://consensus.app/papers/details/a242a54801545d2c9ce8355cdd86cffe/?utm_source=claude_code,https://consensus.app/search/new?q=behavioral+activation+depression+efficacy+meta-analysis+randomized+controlled+trials&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Behavioral activation,"Schedule small rewarding or valued actions before motivation appears, then track mood afterward.",Strong Evidence,Backup 1,"Cuijpers et al., 2023, Psychotherapy Research","Meta-analysis, 22 RCTs/819 patients; individual BA had a large effect vs controls (g=0.85; g=0.56 in low-risk-of-bias studies).","Focuses on individual-format BA and confirms a robust effect even when limited to low-risk-of-bias trials, strengthening the evidence base.",https://doi.org/10.1080/10503307.2023.2197630,https://consensus.app/papers/details/c722f15456205496847c73211db42939/?utm_source=claude_code,https://consensus.app/search/new?q=behavioral+activation+depression+efficacy+meta-analysis+randomized+controlled+trials&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Graded exposure,Build a fear hierarchy and repeatedly face the easiest feared situation until anxiety drops before advancing.,Strong Evidence,Primary,"Odgers et al., 2022, Behaviour Research and Therapy","Meta-analysis, 85 comparisons/1758 patients; in vivo exposure for specific phobia gave large pre-post effects on approach and symptoms.","Directly evaluates graded in vivo exposure for phobia and finds large effects regardless of session format, an on-target match for a Strong ranking.",https://doi.org/10.1016/j.brat.2022.104203,https://consensus.app/papers/details/fb5bb035897557f0b2d9a262ba212d60/?utm_source=claude_code,https://consensus.app/search/new?q=graded+in+vivo+exposure+therapy+anxiety+disorders+phobia+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Graded exposure,Build a fear hierarchy and repeatedly face the easiest feared situation until anxiety drops before advancing.,Strong Evidence,Backup 1,"Carl et al., 2018, Journal of Anxiety Disorders","Meta-analysis, 30 RCTs/1057 patients; virtual-reality exposure had large effect vs waitlist (g=0.90) and matched in vivo exposure (g=-0.07).","Shows exposure therapy's efficacy generalizes across anxiety disorders and delivery formats, reinforcing exposure as a strongly supported mechanism.",https://doi.org/10.1016/j.janxdis.2018.08.003,https://consensus.app/papers/details/44de46f9505c50e586b65b1fde7e2005/?utm_source=claude_code,https://consensus.app/search/new?q=graded+in+vivo+exposure+therapy+anxiety+disorders+phobia+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
ERP (exposure + prevention),"Trigger the obsession or fear while deliberately not doing the compulsion, reassurance, avoidance, or escape behavior.",Strong Evidence,Primary,"Reid et al., 2021, Comprehensive Psychiatry","Meta-analysis, 36 RCTs/2020 patients; CBT with ERP had large effect on OCD vs all controls (g=0.74) and vs placebo (g=1.13).","Large, preregistered meta-analysis of ERP for OCD—an exact construct match—shows a large effect, though authors note efficacy depends on comparator and researcher allegiance.",https://doi.org/10.1016/j.comppsych.2021.152223,https://consensus.app/papers/details/7fc79545278d5810b5f136a9c690a253/?utm_source=claude_code,https://consensus.app/search/new?q=exposure+and+response+prevention+obsessive+compulsive+disorder+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
ERP (exposure + prevention),"Trigger the obsession or fear while deliberately not doing the compulsion, reassurance, avoidance, or escape behavior.",Strong Evidence,Backup 1,"Song et al., 2022, Psychiatry Research","Meta-analysis, 39 RCTs/1793 patients; ERP improved OCD overall (g=0.37), with large effects vs placebo (g=0.97) and vs drug (g=0.59).","Independent meta-analysis confirms ERP's superiority over placebo and pharmacotherapy controls for OCD, corroborating the Strong ranking.",https://doi.org/10.1016/j.psychres.2022.114861,https://consensus.app/papers/details/3f743c97d9615cabb9259b794da0290d/?utm_source=claude_code,https://consensus.app/search/new?q=exposure+and+response+prevention+obsessive+compulsive+disorder+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Problem-solving therapy,"Define the problem, generate options, choose one, act, and review the result.",Strong Evidence,Primary,"Cuijpers et al., 2018, European Psychiatry","Meta-analysis, 30 RCTs/3530 patients; PST beat control (g=0.79 overall; g=0.34 in low-risk-of-bias studies), comparable to other therapies.","Most up-to-date meta-analysis of PST for depression—an exact construct match—shows a significant effect even in low-bias trials, supporting a Strong ranking.",https://doi.org/10.1016/j.eurpsy.2017.11.006,https://consensus.app/papers/details/c3d92ead136853538df31a103a89a5ae/?utm_source=claude_code,https://consensus.app/search/new?q=problem-solving+therapy+depression+mental+health+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The evidence is strong for full problem-solving therapy for depression, but the paper does not isolate a brief self-help problem-solving worksheet from therapist-guided PST. That distinction matters if the ranked technique is meant to be used alone.",Agree,"ChatGPT is right that the trials are therapist-guided PST, not isolated self-help worksheets. That construct-breadth gap is real, but PST's efficacy still supports the tier; I'd note the standalone caveat."
Problem-solving therapy,"Define the problem, generate options, choose one, act, and review the result.",Strong Evidence,Backup 1,"Bell & D'Zurilla, 2009, Clinical Psychology Review","Meta-analysis, 21 samples; PST equaled other psychotherapies and medication and beat no-treatment/attention controls for depression.","Earlier independent meta-analysis confirms PST efficacy and shows the full four-skill package drives larger effects, reinforcing the technique's components.",https://doi.org/10.1016/j.cpr.2009.02.003,https://consensus.app/papers/details/88c61363b2585300850c840bd751af38/?utm_source=claude_code,https://consensus.app/search/new?q=problem-solving+therapy+depression+mental+health+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"This supports the broader PST package and its components, not necessarily a short standalone self-help version. It is good backup evidence, but weaker as direct evidence for a single technique.",Partially agree,"I agree it's the full PST package, not a short self-help version, but as Backup 1 its job is to corroborate the primary, not independently prove a standalone technique, so it still does its job."
Worry time,Postpone worries to a scheduled 10–20 minute window and redirect attention when they arise outside it.,Strong Evidence,Primary,"Dippel et al., 2023, International Journal of Cognitive Therapy","Meta-analysis, 7 RCTs/999 participants; worry postponement reduced daily worry duration (d=0.31) and frequency (d=0.19) vs worry monitoring.","Only meta-analysis specific to worry postponement; effects are significant but small, so evidence for this standalone technique is best described as positive yet modest.",https://doi.org/10.1007/s41811-023-00193-x,https://consensus.app/papers/details/7d2fafa67c765e5dad3953a34a47d72a/?utm_source=claude_code,https://consensus.app/search/new?q=stimulus+control+worry+postponement+generalized+anxiety+treatment+randomized+trial&utm_source=claude_code&mode=quick,Partially agree,"The paper is on-target, but the effect sizes are small and the evidence base is only seven RCTs. This supports a positive/moderate rating more cleanly than a Strong Evidence rating.",Agree,I agree the effects are small (d=0.31/0.19) over just seven RCTs; my own reasoning called them 'positive yet modest.' That tension with a Strong label is fair and the wording should be softened.
Worry time,Postpone worries to a scheduled 10–20 minute window and redirect attention when they arise outside it.,Strong Evidence,Backup 1,"Krzikalla et al., 2024, Clinical Psychology in Europe","Waitlist-controlled RCT, n=82 (GAD/hypochondriasis); worry postponement significantly lowered worry in GAD (large pre-post effect), sustained at 4 weeks.","A controlled RCT in a clinical GAD sample shows worry postponement reduces worry, adding rigorous single-trial support beyond the small meta-analytic effect.",https://doi.org/10.32872/cpe.12741,https://consensus.app/papers/details/8e2b59a64643533d8265a11b2209a68a/?utm_source=claude_code,https://consensus.app/search/new?q=stimulus+control+worry+postponement+generalized+anxiety+treatment+randomized+trial&utm_source=claude_code&mode=quick,Mostly agree,"Good clinical RCT support, but it is one small waitlist-controlled study with short follow-up. It strengthens the case, but does not by itself justify Strong Evidence for the standalone practice.",Partially agree,"I concede it's one small waitlist RCT with short follow-up, but as a backup its role is to add a rigorous clinical data point beyond the meta-analysis, which it does; the tier rests on the broader picture."
Progressive relaxation,Tense and release each major muscle group in sequence while noticing the contrast.,Strong Evidence,Primary,"Donato et al., 2026, Journal of Psychosomatic Research","Meta-analysis, 31 RCTs/2277 patients; PMR improved sleep quality (SMD -1.74) and reduced anxiety (SMD -1.11) vs control (high heterogeneity).","Most recent and largest meta-analysis dedicated to progressive muscle relaxation, showing significant effects on anxiety and sleep, supporting a Strong ranking.",https://doi.org/10.1016/j.jpsychores.2026.112563,https://consensus.app/papers/details/bf3b8fe1891c5a62a0bd57f359f12eac/?utm_source=claude_code,https://consensus.app/search/new?q=progressive+muscle+relaxation+anxiety+efficacy+meta-analysis+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"PMR is well supported, but the reported effects are very large with high heterogeneity, so the reasoning should not treat the pooled effect size as a stable expected benefit. Strong evidence is plausible, but the magnitude should be softened.",Agree,"ChatGPT is right that SMDs of -1.74/-1.11 with high heterogeneity shouldn't be read as a stable expected benefit. The direction supports Strong, but I agree the magnitude should be softened."
Progressive relaxation,Tense and release each major muscle group in sequence while noticing the contrast.,Strong Evidence,Backup 1,"Tan et al., 2022, Complementary Therapies in Clinical Practice","Meta-analysis, 12 RCTs/1147 cancer patients; PMR training significantly reduced anxiety (SMD -1.32) and pain and improved quality of life.","Confirms PMR's anxiety-reducing effect in a distinct clinical population, broadening the evidence base; effect is shown in cancer patients specifically.",https://doi.org/10.1016/j.ctcp.2022.101676,https://consensus.app/papers/details/c2c81188fba554b3b1f58f2e33841860/?utm_source=claude_code,https://consensus.app/search/new?q=progressive+muscle+relaxation+anxiety+efficacy+meta-analysis+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"This is useful corroboration in cancer patients, but the population is specific and the intervention context may involve more support than a generic self-help PMR exercise.",Partially agree,"I agree the cancer population is specific and may involve more support than solo PMR, but as a backup it's meant to broaden the base to a distinct group, which it does without weakening the primary."
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Primary,"Goyal et al., 2014, JAMA Internal Medicine","SR/MA of 47 active-control RCTs / 3,515 participants; moderate evidence mindfulness meditation improves anxiety (0.38), depression (0.30), pain.","The most conservative possible test — only active-control RCTs, which strip out placebo/expectancy — still finds durable benefit. Surviving that bar is the strongest justification for a Strong ranking.",https://doi.org/10.1001/jamainternmed.2013.13018,https://consensus.app/papers/details/2f484c49928d5aa790d352a308c753cc/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Mostly agree,"The ranking is defensible, but the reasoning is a little too strong. Goyal et al. found small-to-moderate benefits against time/attention active controls, but also found no evidence that meditation beat specific active treatments such as exercise, drugs, or behavioral therapies; phrases like “most conservative possible test” and “durable benefit” should be softened.",Agree,"ChatGPT is right: Goyal found no benefit over specific active treatments, so 'most conservative possible test' and 'durable benefit' overstate it. The ranking holds but I'd soften that reasoning."
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Backup 1,"Galante et al., 2023, Nature Mental Health","Individual-participant-data MA, 13 RCTs / 2,371 participants; distress SMD −0.32 at 1–6 months; confidence rated ""high.""","IPD meta-analysis is the gold-standard synthesis form, and the authors themselves grade confidence as high — top-tier methodological pedigree behind the ranking.",https://doi.org/10.1038/s44220-023-00081-5,https://consensus.app/papers/details/6f6e797974d25922a49c81a0b0f8bd72/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Mostly agree,"Strong synthesis method, but the comparison was passive/no-intervention control in non-clinical volunteers, not active control. It supports mindfulness versus doing nothing more than a specific effect beyond expectancy, time, or attention.",Partially agree,"The point that Galante used passive controls in non-clinical volunteers is accurate and worth flagging, but as a backup its job is methodological pedigree (high-confidence IPD), not an expectancy-controlled test."
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Backup 2,"Galante et al., 2021, PLoS Medicine","SR/MA, 136 RCTs / 11,605 participants; vs no intervention depression SMD −0.53, anxiety −0.56.","Establishes breadth (136 RCTs) of benefit; the fact that effects shrink vs active controls is exactly why the ranking is Strong rather than over-stated, so it supports the placement honestly.",https://doi.org/10.1371/journal.pmed.1003481,https://consensus.app/papers/details/c141f0c70df85584b7e51269bec311b4/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Sleep restriction,"Limit time in bed to actual sleep time, then gradually expand the window as sleep efficiency improves.",Strong Evidence,Primary,"Maurer et al., 2021, Sleep Medicine Reviews","Meta-analysis, 8 RCTs; standalone sleep restriction therapy gave large effects on insomnia severity (g=-0.93) and sleep efficiency (g=0.91).","Dedicated meta-analysis of standalone sleep restriction therapy shows large effects comparable to full CBT-I, an exact construct match for a Strong ranking.",https://doi.org/10.1016/j.smrv.2021.101493,https://consensus.app/papers/details/1a0e183706b7567fbcf174787e36b26d/?utm_source=claude_code,https://consensus.app/search/new?q=sleep+restriction+therapy+insomnia+efficacy+meta-analysis+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Sleep restriction,"Limit time in bed to actual sleep time, then gradually expand the window as sleep efficiency improves.",Strong Evidence,Backup 1,"Wei et al., 2025, Journal of Sleep Research","Meta-analysis, 9 RCTs/1239 patients; single-component SRT significantly improved insomnia severity, sleep efficiency and onset latency vs control.","Newer, larger meta-analysis of single-component SRT replicates the benefits and adds sustained long-term effects on several outcomes, reinforcing the ranking.",https://doi.org/10.1111/jsr.70200,https://consensus.app/papers/details/d4ead531532854a3920f1a9a62c9905a/?utm_source=claude_code,https://consensus.app/search/new?q=sleep+restriction+therapy+insomnia+efficacy+meta-analysis+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Implementation intentions,"Write a specific 'If situation X happens, then I will do behavior Y' plan.",Strong Evidence,Primary,"Gollwitzer & Sheeran, 2006, Advances in Experimental Social Psychology","Meta-analysis, 94 independent tests; forming if-then implementation intentions had a medium-to-large effect (d=.65) on goal attainment.","The foundational meta-analysis of the exact if-then construct, aggregating 94 tests with a robust medium-to-large effect, directly establishes that implementation intentions improve goal attainment.",https://doi.org/10.1016/S0065-2601(06)38002-1,https://consensus.app/papers/details/5f23556f39a35b74957933d9aac4c90f/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+goal+attainment+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Implementation intentions,"Write a specific 'If situation X happens, then I will do behavior Y' plan.",Strong Evidence,Backup 1,"Wang et al., 2021, Frontiers in Psychology","Meta-analysis, 21 studies / 15,907 participants; mental contrasting with implementation intentions aided goal attainment (g=0.34), small-to-medium.","A large, recent meta-analysis confirms the if-then planning component (combined with mental contrasting) produces reliable goal-attainment gains across nearly 16,000 participants.",https://doi.org/10.3389/fpsyg.2021.565202,https://consensus.app/papers/details/6b7622fe5dd45278858cbf92bec1ada0/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+goal+attainment+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Implementation intentions,"Write a specific 'If situation X happens, then I will do behavior Y' plan.",Strong Evidence,Backup 2,"Breitwieser et al., 2026, British Journal of Psychology","Meta-analysis, 42 studies / N=12,957 children; implementation intentions had a small-to-medium effect on goal achievement (g=0.31).","A large registered-report meta-analysis replicates the effect in a distinct population (children), strengthening evidence that the if-then technique generalizes beyond adults.",,https://consensus.app/papers/details/20d50ab36d2259cc92ec8c0a11e5a4db/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+goal+attainment+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.,Strong Evidence,Primary,"Epton et al., 2017, Journal of Consulting and Clinical Psychology","Meta-analysis of RCTs, 384 effect sizes / N=16,523; goal setting had a small positive effect (d=.34), strongest when goals were difficult.","RCT-only meta-analysis isolating the unique effect of goal setting on behavior change, confirming difficult, specific goals (the core construct) work across many behaviors.",https://doi.org/10.1037/ccp0000260,https://consensus.app/papers/details/57b1edb60170556ab63cfcd0089c86b6/?utm_source=claude_code,https://consensus.app/search/new?q=goal+setting+specific+difficult+goals+feedback+performance+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The paper is strong and relevant, but the average effect of goal setting on behavior change is small-to-moderate rather than large. Strong Evidence is defensible for the existence of an effect, but not for a large expected impact.",Agree,"I agree the effect is small-to-moderate (d=.34), not large; my reasoning even called it 'small positive.' Strong is fine for effect existence, but I'd avoid implying a large expected impact."
