Technique,Description
Accountability partner,Tell someone the exact commitment and report completion on a fixed schedule.
Self-compassion break,"Notice suffering, remind yourself it is human, and speak to yourself as a good coach would."
Acts of kindness,Perform small concrete helpful acts and notice their effects on others and yourself.
Expressive writing,Privately write for 15–20 minutes about a stressful event and what it means.
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.
Strengths use,Identify a character strength and use it in a new way each day.
Daily journaling,"Write a brief uncensored account of thoughts, decisions, and lessons each day."
No Zero Days,"Do at least one tiny action toward the goal every day, even on bad days."
Cold exposure,"Expose yourself briefly to cold water, starting mild and short, and observe stress or mood effects."
Breathwork systems,"Follow a fixed pattern such as box breathing, 4-7-8 breathing, or cyclic hyperventilation with recovery."
Urge surfing,"Notice craving sensations as waves, breathe, and wait without acting until they crest and fall."
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.
Keystone habit,Pick one habit likely to improve other behaviors or make other habits easier and work on developing that habit first.
Don't Break the Chain,Mark each day you complete the habit and try to preserve the streak.
Eat the Frog,Do the most aversive high-value task first in the workday.
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.
EFT / tapping,"While naming a distressing issue, tap through the standard point sequence and re-rate emotional intensity."
Vision board,Create a collage of goal-related images or words.
Positive affirmations,"Repeat short positive statements about yourself (e.g., 'I am strong and capable.')."
Lucky Girl Syndrome,Repeat that things tend to work out for you and look for opportunities that match the expectation.
Scripting manifestation,Write a future scene as if the desired outcome has already happened.
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence."
"10,000-hour rule","Accumulate practice hours, but do not expect hours alone to overcome feedback quality, genetics, timing, and domain constraints."
Polyphasic sleep,Split sleep into many short naps to reduce total sleep.
369 method,"Write a desired outcome 3 times in the morning, 6 times midday, and 9 times at night."
Subliminal audio,Play affirming messages below conscious audibility while relaxing or sleeping.
Solfeggio frequencies,"Play tracks marketed as specific healing frequencies during meditation, rest, or work."
Crystals for healing,Hold or display a crystal to balance energy or heal yourself.
Astrology planning,"Choose goals or timing based on horoscopes, signs, or transits."
Numerology goals,"Select goals, dates, or habits based on personally meaningful numbers."
Law of Attraction,"Think, visualize, or 'vibrate' as if the desired outcome is inevitable or has already happened."
Multitasking hack,Rapidly switch between tasks or media streams to get multiple things done at once.
Detox cleanses,"Use juices, teas, fasting, or colon cleanses to 'flush toxins' from the body."
